Referee,location,Winner,title_bout,weight_class_Bantamweight,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Open Weight,weight_class_Welterweight,weight_class_Women's Bantamweight,weight_class_Women's Featherweight,weight_class_Women's Flyweight,weight_class_Women's Strawweight,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Sideways,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Sideways,R_Stance_Southpaw,R_Stance_Switch,avg_opp_SIG_STR_pct_diff,avg_TD_pct_diff,avg_opp_TD_pct_diff,avg_SUB_ATT_diff,avg_opp_SUB_ATT_diff,avg_REV_diff,avg_opp_REV_diff,avg_SIG_STR_att_diff,avg_opp_SIG_STR_att_diff,avg_SIG_STR_landed_diff,avg_opp_SIG_STR_landed_diff,avg_TOTAL_STR_att_diff,avg_opp_TOTAL_STR_att_diff,avg_TOTAL_STR_landed_diff,avg_opp_TOTAL_STR_landed_diff,avg_TD_att_diff,avg_opp_TD_att_diff,avg_TD_landed_diff,avg_opp_TD_landed_diff,avg_HEAD_att_diff,avg_opp_HEAD_att_diff,avg_HEAD_landed_diff,avg_opp_HEAD_landed_diff,avg_BODY_att_diff,avg_opp_BODY_att_diff,avg_BODY_landed_diff,avg_opp_BODY_landed_diff,avg_LEG_att_diff,avg_opp_LEG_att_diff,avg_LEG_landed_diff,avg_opp_LEG_landed_diff,avg_DISTANCE_att_diff,avg_opp_DISTANCE_att_diff,avg_DISTANCE_landed_diff,avg_opp_DISTANCE_landed_diff,avg_CLINCH_att_diff,avg_opp_CLINCH_att_diff,avg_CLINCH_landed_diff,avg_opp_CLINCH_landed_diff,avg_GROUND_att_diff,avg_opp_GROUND_att_diff,avg_GROUND_landed_diff,avg_opp_GROUND_landed_diff,avg_CTRL_time(seconds)_diff,avg_opp_CTRL_time(seconds)_diff,total_time_fought(seconds)_diff,total_rounds_fought_diff,total_title_bouts_diff,current_win_streak_diff,current_lose_streak_diff,longest_win_streak_diff,wins_diff,losses_diff,draw_diff,win_by_Decision_Majority_diff,win_by_Decision_Split_diff,win_by_Decision_Unanimous_diff,win_by_KO/TKO_diff,win_by_Submission_diff,win_by_TKO_Doctor_Stoppage_diff,Height_cms_diff,Reach_cms_diff,Weight_lbs_diff,age_diff
Leon Roberts, Germany,Red,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.005625,-0.06375,0.15875,-0.104166667,0.15625,-0.010416667,0.0625,40.83333333,26.66666667,16.07291667,10.45833333,42.38541667,0,17.55208333,11.17708333,0.71875,0.78125,0.34375,0.15625,29.64583333,23.66666667,9.760416667,8.09375,5.71875,4.270833333,2.458333333,3.166666667,5.46875,-1.270833333,3.854166667,-0.802083333,31.32291667,26.19791667,10.02083333,9.625,6.864583333,2.052083333,4.3125,1.572916667,2.645833333,-1.583333333,1.739583333,-0.739583333,3.53125,100.84375,570.25,-5,0,1,-3,-1,-1,-2,0,0,1,-1,0,-1,0,-2.54,-2.54,0,2
Marc Goddard, Germany,Blue,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.005731773,0,0.008261719,-0.008582052,-0.003660297,0,0,-0.571614583,-0.488248698,-0.083333333,0.10043246,-0.706176758,0,0.03125,0.28246127,-0.013275274,0,-0.010367839,0.020833333,-0.366905721,-0.438802083,-0.124641927,-0.074069214,-0.07854983,-0.041666667,-0.033854167,-0.025313314,-0.00141805,0.058797201,-0.046158854,0.05880127,-0.583333333,-0.782552083,-0.3125,-0.177604167,0.03125,-0.004919434,0.028645833,-0.035408783,-0.070849609,-0.005208333,-0.020442708,-1.11E-16,-5.653320313,4.625,-17.34410095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62,2.54,10,5
Yves Lavigne, Canada,Red,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.009375,0.38125,0.274375,-0.020833333,0.041666667,0.020833333,0.270833333,13.625,21.95833333,3.395833333,12.95833333,26,0,14.125,20.35416667,0.25,0.895833333,0.354166667,0.458333333,16.1875,19.8125,5.541666667,10.47916667,-2.666666667,-0.416666667,-2.145833333,0,0.104166667,2.5625,0,2.479166667,9.979166667,17.22916667,1.3125,9.458333333,-1.041666667,-1,-0.854166667,-0.541666667,4.6875,5.729166667,2.9375,4.041666667,-50.3125,371.75,538.875,10,-1,-1,0,-1,0,3,0,0,0,1,-1,0,0,-10.16,-12.7,0,4
Herb Dean, USA,Blue,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.084699707,0.127412109,0.337851562,0.042236328,0.004882813,0,0,0.590112305,-14.34816081,-0.400170898,-10.61338704,0.625480143,0,-0.87985026,-27.10292155,0.426277669,-0.58449707,0.291756185,0.137565104,-0.042211914,-7.730598958,-0.511238607,-3.911393229,-1.31245931,-7.790486654,-1.382291667,-7.830200195,1.944783529,1.172924805,1.493359375,1.12820638,2.062239583,-3.246557617,1.535188802,0.025195312,-1.550520833,-7.469555664,-1.81101888,-7.177921549,0.078393555,-3.632047526,-0.12434082,-3.460660807,15.74914551,-443.2364502,-742.1434326,-6,-6,2,0,2,2,-1,0,-1,-1,3,-2,3,0,2.54,-7.62,0,-5
Kevin MacDonald, USA,Blue,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.115625,-0.451875,-0.34125,-0.035929871,-0.303125,-0.166666667,-0.166666667,3.87890625,9.489583333,2.895833333,5.5625,0.479166667,0,-0.208333333,7.393756843,-0.763275274,0.270833333,-0.541666667,-0.145833333,2.35859375,6.6875,1.125,2.801372274,-0.099383163,1.5,0.458333333,1.231770833,0.604166667,0.510416667,0.483072917,0.814518229,2.4375,5.677083333,1.25,2.9375,-0.010416667,0.79453125,0.333333333,0.6875,-1.0625,0.494791667,-0.452083333,0.270833333,-144.2880859,-20.6875,143,-10,-1,0,-1,-3,-3,-2,0,0,0,-2,-1,0,0,10.16,2.54,0,1
Marc Goddard, USA,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,-0.087595825,0.063808594,0.180078125,-0.0046875,-0.082511393,-0.005187988,-0.002604167,18.86926676,17.87093506,9.933927409,2.461893717,20.21613363,0,9.935327148,0.931534831,-0.339921061,-1.214851888,-0.044759115,-0.081518555,21.41249593,19.60595703,11.55830078,4.883500163,3.908272298,0.648201497,2.800386556,-0.614587402,-6.451501465,-2.38322347,-4.424759928,-1.807019043,16.49241943,20.16054281,9.622713216,5.128035482,0.893001302,-2.535782878,-0.204715983,-2.86961263,1.483846029,0.24617513,0.515930176,0.203470866,-32.88891602,-30.94177246,-201.6402588,14,0,-1,0,0,2,4,0,0,-1,3,1,-2,1,0,5.08,0,1
Chris Tognoni, USA,Blue,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.0240625,0.2025,-0.06125,0.166666667,0.09375,0.083333333,0.333333333,-17.23958333,-10.53125,-6.708333333,-4.833333333,-15.28125,0,-5.041666667,-2.90625,1.291666667,-0.822916667,0.78125,-0.041666667,-13.63541667,-5.03125,-5.65625,0.802083333,-4.333333333,-2.239583333,-1.78125,-2.0625,0.729166667,-3.260416667,0.729166667,-3.572916667,-16.84375,-10.59375,-5.229166667,-3.479166667,0.166666667,-2.333333333,-0.364583333,-2.197916667,-0.5625,2.395833333,-1.114583333,0.84375,133.0625,52.34375,-133.6875,-3,1,0,0,0,-1,1,0,0,1,-1,-1,0,0,0,-2.54,0,9
Jason Herzog, USA,Red,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.045683594,-0.202283936,-0.046358643,0.015563965,-0.319897461,-2.03E-05,-2.03E-05,9.521944173,15.00729574,6.002770996,7.225708008,15.54329834,0,11.1943278,6.09552002,0.242993164,-0.171883138,-0.069665527,-0.210957845,0.932014974,9.259635417,-0.474845378,2.769425456,4.499552409,4.486291504,2.943827311,3.304703776,4.09037679,1.261368815,3.533789062,1.151578776,7.522489421,13.01394043,4.207454427,5.69564209,3.341491699,3.94017334,2.862890625,2.998238118,-1.342036947,-1.946818034,-1.067574056,-1.468172201,152.175415,-175.1531982,176.4841309,-17,-1,2,0,0,-6,-4,0,0,0,-1,-7,0,2,-2.54,2.54,0,4
Herb Dean, United Kingdom,Blue,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.015792935,-0.002096872,-0.097923324,-0.002350712,-0.075760031,-2.42E-06,0.000520873,27.87789256,7.522116566,7.955103175,3.780329506,26.94817352,0,7.166840609,2.082586114,0.071542295,0.830281893,0.00565273,0.217062942,26.97596632,9.812600056,7.322022438,3.012152974,-0.106177775,-0.369234959,-0.557822196,0.488950165,1.008104014,-1.921248531,1.190902932,0.279226367,28.03528581,8.617064198,7.904160897,4.303389287,-0.646871853,-0.229043468,-0.272861854,-0.003717573,0.489478604,-0.865904164,0.323804132,-0.519342208,22.94789505,-35.83836865,210.1802294,20,-12,-12,0,-12,1,4,0,0,2,4,-2,-3,0,-2.54,-5.08,0,-4
Leon Roberts, China,Red,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.08,0,-0.4,1.666666667,-0.333333333,-0.666666667,0.333333333,-15,4,-4.333333333,0.666666667,-23.33333333,0,-10,33.66666667,0.333333333,-2.333333333,0,-1.333333333,-8,4.666666667,-1.666666667,1,-1.333333333,1.333333333,0.333333333,1.666666667,-5.666666667,-2,-3,-2,-10.33333333,-4,-3,-2,-2.333333333,0,-0.333333333,0,-2.333333333,8,-1,2.666666667,-223,323,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,5.08,5.08,0,0
