Referee,location,Winner,title_bout,weight_class_Bantamweight,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Open Weight,weight_class_Welterweight,weight_class_Women's Bantamweight,weight_class_Women's Featherweight,weight_class_Women's Flyweight,weight_class_Women's Strawweight,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Sideways,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Sideways,R_Stance_Southpaw,R_Stance_Switch,avg_opp_SIG_STR_pct_diff,avg_TD_pct_diff,avg_opp_TD_pct_diff,avg_SUB_ATT_diff,avg_opp_SUB_ATT_diff,avg_REV_diff,avg_opp_REV_diff,avg_SIG_STR_att_diff,avg_opp_SIG_STR_att_diff,avg_SIG_STR_landed_diff,avg_opp_SIG_STR_landed_diff,avg_TOTAL_STR_att_diff,avg_opp_TOTAL_STR_att_diff,avg_TOTAL_STR_landed_diff,avg_opp_TOTAL_STR_landed_diff,avg_TD_att_diff,avg_opp_TD_att_diff,avg_TD_landed_diff,avg_opp_TD_landed_diff,avg_HEAD_att_diff,avg_opp_HEAD_att_diff,avg_HEAD_landed_diff,avg_opp_HEAD_landed_diff,avg_BODY_att_diff,avg_opp_BODY_att_diff,avg_BODY_landed_diff,avg_opp_BODY_landed_diff,avg_LEG_att_diff,avg_opp_LEG_att_diff,avg_LEG_landed_diff,avg_opp_LEG_landed_diff,avg_DISTANCE_att_diff,avg_opp_DISTANCE_att_diff,avg_DISTANCE_landed_diff,avg_opp_DISTANCE_landed_diff,avg_CLINCH_att_diff,avg_opp_CLINCH_att_diff,avg_CLINCH_landed_diff,avg_opp_CLINCH_landed_diff,avg_GROUND_att_diff,avg_opp_GROUND_att_diff,avg_GROUND_landed_diff,avg_opp_GROUND_landed_diff,avg_CTRL_time(seconds)_diff,avg_opp_CTRL_time(seconds)_diff,total_time_fought(seconds)_diff,total_rounds_fought_diff,total_title_bouts_diff,current_win_streak_diff,current_lose_streak_diff,longest_win_streak_diff,wins_diff,losses_diff,draw_diff,win_by_Decision_Majority_diff,win_by_Decision_Split_diff,win_by_Decision_Unanimous_diff,win_by_KO/TKO_diff,win_by_Submission_diff,win_by_TKO_Doctor_Stoppage_diff,Height_cms_diff,Reach_cms_diff,Weight_lbs_diff,age_diff
Jordan Bass, USA,Blue,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.34,0.66,0,0,0,0,0,-22,-10.33333333,-6,-1,-22.33333333,0,-7,-0.333333333,1,-0.333333333,0.666666667,0,-21,-9,-5.333333333,0,-0.666666667,0.666666667,-0.333333333,0.666666667,-0.333333333,-2,-0.333333333,-1.666666667,-16.66666667,-11,-2.333333333,-1.666666667,-1.333333333,0.666666667,-0.666666667,0.666666667,-4,0,-3,0,109,1,-67,-1,0,-1,1,-1,-1,1,0,0,0,0,0,-1,0,10.16,17.78,45,-5
Chris Tognoni, USA,Red,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.06,0,-0.17,0,-0.333333333,0.166666667,0,31,16.83333333,7.166666667,8.5,38.33333333,0,13,3.166666667,0.833333333,0.333333333,0,0.333333333,17.83333333,11.33333333,0.5,4.666666667,5.166666667,3.5,1.666666667,2.333333333,8,2,5,1.5,29.16666667,12.83333333,7.5,5.333333333,3.5,1.166666667,1.333333333,1.166666667,-1.666666667,2.833333333,-1.666666667,2,29.5,107,448,4,0,0,1,0,0,1,0,0,0,0,0,0,0,7.62,-2.54,0,-4
Dan Miragliotta, Brazil,Red,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0275,0.25,-0.13,0.047403463,0.030208333,0,-0.333333333,-10.95442708,-29.86458333,-3,-11.75,-4.604166667,0,2,-9.877076491,-1.346608607,-1.333333333,0.25,-0.4375,-8.224739583,-28.66666667,-2.666666667,-10.34446106,-5.245216497,-1.583333333,-2.333333333,-1.372395833,1.5,-0.40625,1.170572917,-0.747981771,-16,-25.01041667,-6.145833333,-9,1.197916667,0.04453125,0.5625,0.416666667,1.333333333,-7.421875,0.81875,-4.833333333,-17.78808594,-51.875,-261.5,-3,0,0,-1,0,0,-1,0,0,0,0,0,0,0,2.54,-7.62,0,-1
Larry Carter, USA,Red,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.005731773,0,0.008261719,-0.008582052,-0.003660297,0,0,-0.571614583,-0.488248698,-0.083333333,0.10043246,-0.706176758,0,0.03125,0.28246127,-0.013275274,0,-0.010367839,0.020833333,-0.366905721,-0.438802083,-0.124641927,-0.074069214,-0.07854983,-0.041666667,-0.033854167,-0.025313314,-0.00141805,0.058797201,-0.046158854,0.05880127,-0.583333333,-0.782552083,-0.3125,-0.177604167,0.03125,-0.004919434,0.028645833,-0.035408783,-0.070849609,-0.005208333,-0.020442708,-1.11E-16,-5.653320313,4.625,-17.34410095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54,0,0
Herb Dean, USA,Red,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.05671875,-0.22671875,0.43578125,0.255208333,-0.208333333,-0.005208333,0.083333333,-13.41666667,-12.8203125,-5.3515625,-5.1796875,-11.44010417,0,-3.221354167,-12.68229167,-1.7265625,-0.903645833,-0.747395833,-0.494791667,-10.65104167,-11.52604167,-2.864583333,-4.020833333,-1.6328125,-1.3515625,-1.473958333,-1.078125,-1.1328125,0.057291667,-1.013020833,-0.080729167,-6.71875,-9.377604167,-1.697916667,-3.026041667,-1.09375,-1.494791667,-0.747395833,-0.71875,-5.604166667,-1.947916667,-2.90625,-1.434895833,-211.4375,115.75,-333.7109375,-8,0,0,1,0,-2,0,0,-1,0,-2,0,1,0,12.7,0,0,0
Marc Fennell, USA,Red,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-0.1978125,-0.016875,0.25875,-0.458333333,0.052083333,0,0,-9.625,-16.14583333,-2.354166667,-7.697916667,-14.63541667,0,-7.03125,-9.010416667,-0.947916667,-0.71875,-0.322916667,-0.572916667,-8.28125,-12.42708333,-1.59375,-4.927083333,-0.729166667,-2.71875,-0.135416667,-1.729166667,-0.614583333,-1,-0.625,-1.041666667,-8.916666667,-10.41666667,-2.291666667,-3.625,1.270833333,-1.677083333,0.979166667,-1.385416667,-1.979166667,-4.052083333,-1.041666667,-2.6875,-140.875,-187.21875,-556.53125,-5,0,1,-1,-3,-1,2,0,0,-1,-1,3,-2,0,-2.54,-15.24,0,3
Marc Goddard, New Zealand,Red,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.03171875,0.131640625,-0.435820313,-0.007935079,0.00703125,-0.020833333,0,-13.61080729,-19.79882812,-1.592708333,-6.038671875,-9.732161458,0,1.188411458,-4.579810866,-0.575775274,-0.076432292,0.060416667,-0.322526042,-12.38658854,-17.95559896,-1.212630208,-5.132221476,-1.025685247,-1.411848958,-0.225390625,-0.482161458,-1.2140625,-1.223046875,-0.984114583,-1.139127604,-16.94505208,-22.19947917,-3.476692708,-7.607421875,0.281510417,-0.002994792,0.029947917,0.143229167,0.538411458,-0.11953125,0.089453125,-0.241145833,-15.14550781,-44.89648438,-236.4355469,-28,-1,-2,0,-2,-5,-5,0,0,-1,0,-1,-3,0,0,2.54,0,-2
Dan Miragliotta, USA,Red,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.045,0.43,0,0.666666667,0.166666667,0,-0.166666667,4.666666667,2.666666667,1.5,5.166666667,5,0,2.333333333,-1,-4,0,-0.166666667,0,2.833333333,-6.333333333,0.333333333,-2,-0.166666667,1.333333333,-0.5,0.833333333,2,7.666666667,1.666666667,6.333333333,12.66666667,8.333333333,7,8.833333333,-5.166666667,-5.333333333,-3.333333333,-3.5,-2.833333333,-0.333333333,-2.166666667,-0.166666667,-354,-18,-185.5,-1,-1,-1,1,0,0,0,0,0,0,-1,0,1,0,-5.08,-2.54,10,3
Mario Yamasaki, USA,Red,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.12,-0.57,0.075,-0.952596537,0.030208333,-0.083333333,-0.25,14.54557292,11.88541667,5.333333333,4.416666667,15.3125,0,5.916666667,0.706256843,-1.096608607,0.166666667,-1.083333333,0.0625,11.52526042,10.83333333,3.333333333,3.822205607,0.838116837,-0.833333333,0.25,-1.0390625,1.166666667,1.09375,0.920572917,0.918684896,13.25,10.48958333,4.604166667,4.166666667,1.114583333,-1.20546875,0.895833333,-1.25,-2.333333333,0.078125,-1.93125,-0.166666667,-367.5380859,-5.625,-8.75,-7,0,0,-1,-2,-2,-1,0,0,0,0,0,-2,0,2.54,7.62,-10,3
Mario Yamasaki, Germany,Red,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.102336426,-0.060673828,-0.239243164,-0.000276693,-0.07347819,-0.006184896,0,-17.58214518,-9.58429362,-10.18872884,-3.191194661,-18.6475179,0,-10.76217448,-3.818741862,-0.053889974,-1.611417643,-0.032275391,-0.675138346,-10.12742513,-5.41011556,-3.506901042,0.132885742,-5.845784505,-1.077197266,-4.668505859,-0.748323568,-1.608935547,-3.096980794,-2.01332194,-2.575756836,-14.30467122,-4.40086263,-8.557316081,-0.604866536,-2.963818359,-2.182389323,-1.542488607,-1.149869792,-0.313655599,-3.001041667,-0.088924154,-1.436458333,-78.44763184,-113.4777832,-416.7557373,-20,-4,-7,1,-6,-9,1,0,0,0,-2,-5,-1,-1,-5.08,-5.08,20,-2
Robert Sundel, Sweden,Red,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.035,-0.165,0.25,0,0.666666667,0,0.333333333,8.666666667,7.666666667,5.166666667,4.666666667,34.5,0,27,17.33333333,-0.5,1.333333333,-0.166666667,0.333333333,7.833333333,4.5,4.666666667,0.833333333,1.166666667,4.333333333,0.666666667,4.666666667,-0.333333333,-1.166666667,-0.166666667,-0.833333333,5.666666667,3.333333333,2.833333333,0.5,2.5,3.833333333,2.166666667,4.166666667,0.5,0.5,0.166666667,0,-68.5,171,213.5,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-15,-6
John McCarthy, USA,Red,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.016445312,-0.00215332,0.025,0.019278463,0.028230794,0,-0.000390625,10.14709473,1.343286133,3.736035156,0.10086263,12.09052734,0,4.198608398,-1.864820631,-0.242539597,-0.034236654,-0.008935547,-0.183333333,7.955566406,-1.657006836,2.589900716,-1.931326294,1.496181615,1.366536458,0.799650065,0.79375,-0.320182292,0.842089844,-0.482942708,0.52360026,8.264339193,2.990437826,2.613883464,1.188037109,-0.565104167,0.237076823,-0.67976888,-0.034977214,-0.066463216,-4.407405599,0.03733724,-2.718863932,-104.7822266,-229.2011719,-128.9621582,-32,-9,-1,0,-6,-9,-4,0,0,0,-2,-5,-1,-1,-10.16,2.54,-35,-5
Dan Miragliotta, USA,Red,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.181875,-0.204375,0.3775,-0.3125,0.208333333,0.291666667,-0.166666667,-26.77083333,-32.9375,-19.26041667,-9.208333333,-39.02083333,0,-30.07291667,-6.9375,-0.3125,-0.520833333,-0.520833333,-0.1875,-15.8125,-23.45833333,-10.40625,-2.572916667,-7.302083333,-6.385416667,-5.53125,-4.010416667,-3.65625,-3.09375,-3.322916667,-2.625,-24.125,-23.46875,-16.28125,-7.916666667,0.572916667,-2.291666667,-0.010416667,-0.8125,-3.21875,-7.177083333,-2.96875,-0.479166667,-81.84375,-104.28125,-499.1875,3,0,2,-1,1,3,1,0,0,0,0,1,2,0,-5.08,-10.16,0,5
Mark Smith, USA,Blue,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.05,-0.33,-0.125,-0.333333333,-0.333333333,0.166666667,-0.333333333,17.5,6.666666667,9,0.666666667,14.33333333,0,6.666666667,-2.333333333,-1.5,2.166666667,-0.5,0.333333333,17.66666667,2.5,7.5,-0.666666667,1.78E-15,2.166666667,1.333333333,0.5,-0.166666667,2,0.166666667,0.833333333,17.16666667,9.666666667,9.333333333,2.5,-0.333333333,-2,-0.5,-1.166666667,0.666666667,-1,0.166666667,-0.666666667,-471.5,56.5,-190,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.62,5.08,10,-3
Kevin MacDonald, Canada,Blue,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.044375,0.0025,-0.34515625,-0.114054871,-0.235416667,-0.005208333,-0.166666667,0.389322917,-2.119791667,-1.96875,-1.65625,4.432291667,0,0.432291667,-1.465618157,-0.78931694,-1.005208333,-0.015625,-0.786458333,0.82734375,-1.390625,-1.333333333,-0.792377726,-1.318133163,-1.479166667,-1.213541667,-1.518229167,-0.135416667,-0.041666667,-0.251302083,-0.060481771,1.1875,-0.395833333,-0.692708333,-0.421875,-1.182291667,-1.809635417,-1.390625,-1.71875,-2.130208333,-2.4375,-1.65,-1.182291667,-50.30371094,-250.765625,-111.40625,-15,0,0,-1,-4,-4,-3,0,0,0,-1,0,-3,0,15.24,5.08,0,-4
Keith Peterson, USA,Red,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.003984375,-0.3803125,0.359296875,0.009114583,0.022135417,0.04296875,0.022135417,15.48645833,5.780208333,2.374479167,1.81875,15.96145833,0,2.775520833,6.14453125,-0.396354167,1.369010417,-0.198177083,0.554947917,18.90625,6.117447917,5.571354167,1.464583333,-3.5265625,-0.139322917,-3.22890625,-0.026302083,0.106770833,-0.197916667,0.03203125,0.38046875,19.08619792,4.114322917,4.47421875,0.808854167,-2.549479167,0.05703125,-1.463802083,-0.030208333,-1.050260417,1.608854167,-0.6359375,1.040104167,38.09375,307.9179688,662.9804688,10,-1,-3,0,0,2,0,0,0,-1,4,-1,0,0,5.08,12.7,-10,-6
Mark Smith, USA,Blue,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0375,0.4375,-0.07,-0.333333333,-0.166666667,0.5,0.083333333,-12.75,0.916666667,-8.416666667,0.5,-12.83333333,0,-9.5,8.75,-1.083333333,1.166666667,0.166666667,0,-9.833333333,0.083333333,-6.5,-1,-1.666666667,1,-1.166666667,1.583333333,-1.25,-0.166666667,-0.75,-0.083333333,-6.25,0.416666667,-2.916666667,-0.916666667,-5.166666667,-0.5,-3.833333333,-0.083333333,-1.333333333,1,-1.666666667,1.5,230.25,-36.75,185.25,-4,0,1,-1,-1,-1,-1,0,-1,0,0,0,0,0,-2.54,0,0,-7
Jacob Montalvo, USA,Red,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.118740234,-0.570761719,0.317382813,0.109700521,-0.25,0.042643229,-0.33203125,31.87434896,18.16927083,17.93815104,9.049153646,34.33072917,0,20.16927083,6.698893229,0.600911458,0.100260417,-0.223632813,0.087239583,27.1640625,16.97330729,13.67513021,8.708658854,1.815104167,1.791015625,1.601888021,0.773111979,2.895182292,-0.595052083,2.661132813,-0.432617188,30.65136719,16.96777344,17.6171875,7.751302083,1.342447917,1.109700521,0.902018229,0.990234375,-0.119466146,0.091796875,-0.581054687,0.307617187,6.240234375,-94.66601563,34.58300781,15,0,-1,0,4,6,1,0,0,0,3,1,2,0,5.08,-2.54,-15,6
Herb Dean, USA,Red,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.1125,-0.0625,0.10625,0.047403463,0.030208333,-0.083333333,0,-25.74609375,-17.78125,-10.29166667,-3.25,-19.77083333,0,-5.541666667,1.831256843,0.32005806,-0.208333333,0.125,0.020833333,-18.51640625,-15.54166667,-4.708333333,-2.34446106,-5.20354983,-2.25,-4.166666667,-1.205729167,-3.041666667,-0.78125,-2.24609375,-0.414648437,-25.95833333,-22.05208333,-11.39583333,-6.25,1.15625,1.377864583,1.0625,0.833333333,-3.458333333,0.369791667,-1.722916667,0.5,71.83691406,23.25,-261.5,-12,0,-4,0,-4,-4,0,0,0,-2,-2,0,0,0,-15.24,-10.16,0,-4
Herb Dean, USA,Blue,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.0475,-0.03,-0.2,0.285929871,-0.030208333,0,0,39.62109375,29.19791667,19.66666667,10.08333333,34.60416667,0,16.33333333,6.877076491,2.346608607,-0.666666667,0.416666667,-0.229166667,32.89140625,32.66666667,14.66666667,13.01112773,4.911883163,-1.75,3.666666667,-1.294270833,2.833333333,-0.927083333,2.162760417,-0.918684896,27,27.01041667,11.47916667,9,15.13541667,5.95546875,9.770833333,3.583333333,0,-1.244791667,0.18125,-0.833333333,54.78808594,-75.125,261.5,3,1,1,0,1,1,0,0,0,0,1,0,0,0,0,5.08,5,-12
Marc Goddard, USA,Red,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.133552246,-0.012794189,-0.139688721,-0.059611003,-0.1,0,0,7.120540365,23.13438314,2.56488444,11.77671712,8.66097819,0,3.931648763,16.71829427,-0.060327148,0.092814128,-0.008536784,-0.119417318,6.48688151,9.940527344,2.362320964,1.33129069,1.962915039,3.311897786,1.05690918,2.087695313,-1.329256185,9.881958008,-0.854345703,8.35773112,5.786661784,22.44361165,1.490486654,10.80712077,0.987874349,3.098543294,0.981494141,3.14202474,0.346004232,-2.40777181,0.092903646,-2.172428385,-12.58398438,59.5892334,125.9020996,36,10,7,-1,3,6,2,0,0,-1,6,2,-1,0,2.54,7.62,0,2
Steve Mazzagatti, USA,Red,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.007606773,0.32265625,0.683261719,0.259118652,0.257798036,0.4453125,0.09375,7.192708333,1.699251302,2.684895833,0.66293246,17.18965658,0,13.0234375,-0.31702474,-0.385416667,0.244791667,-0.041617839,0.536458333,9.269292196,1.43359375,4.180045573,0.601121012,-1.278645833,-0.567708333,-0.768229167,-0.460209147,0.34233195,1.691609701,-0.018815104,1.09584554,0.846354167,0.618489583,-1.739583333,0.825,-0.447916667,-0.85674235,-0.286458333,-0.840096283,9.257275391,4.15625,6.254557292,2.03125,111.4785156,73.046875,-35.53160095,20,0,1,0,2,5,3,0,0,0,3,1,1,0,-10.16,-7.62,0,-1
Mario Yamasaki, Brazil,Blue,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.043398438,0.453527832,0.069938965,0.100878906,0.040380859,0,-0.00641276,-0.065836589,-0.209326172,-2.498779297,-0.270328776,-3.178597005,0,-5.452034505,2.001806641,0.251692708,1.774983724,0.246386719,0.711604818,0.62828776,-1.929264323,-1.445751953,-1.066699219,0.486197917,0.364908854,0.194889323,0.004541016,-1.180322266,1.355029297,-1.247916667,0.791829427,2.169010417,0.056461589,-0.850830078,0.043505859,-0.161816406,-0.653971354,-0.253580729,-0.300537109,-2.073030599,0.388183594,-1.39436849,-0.013297526,-51.02734375,272.3708496,397.1208496,-22,-3,4,-1,2,-2,-6,0,1,0,0,-4,1,0,5.08,10.16,0,-1
Gasper Oliver, USA,Red,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.015,-0.28,-0.2025,0.047403463,-0.053125,-0.083333333,0,-1.537760417,0.385416667,-1.5,1.75,-10.1875,0,-10.5,2.789590176,-0.263275274,-2.333333333,-0.416666667,-0.4375,-0.058072917,0.666666667,0.166666667,1.65553894,-1.07854983,-1.333333333,-1.416666667,-0.872395833,-1.416666667,0.260416667,-1.079427083,0.252018229,2.333333333,1.822916667,0.854166667,2,-5.385416667,-1.288802083,-3.9375,-0.666666667,-1,-2.671875,-0.18125,-1.25,-53.53808594,-256.625,-84.75,-7,0,-1,0,-1,-1,-2,0,0,0,-1,0,0,0,-10.16,-22.86,0,5
Terry Hill, Philippines,Blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.11,0,0.2,0,0,0.666666667,0,4.666666667,-33.33333333,0.666666667,-16.33333333,31,0,25.33333333,1.666666667,0,-1.666666667,0,-0.666666667,9,-22.66666667,4.333333333,-8.333333333,-3.333333333,-4.333333333,-2.666666667,-2,-1,-6.333333333,-1,-6,-0.666666667,-16.66666667,-1,-4,1.666666667,-15,0.666666667,-12,3.666666667,-1.666666667,1,-0.333333333,219,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54,-5.08,0,-2
Herb Dean, USA,Red,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.005444183,-0.593962402,0.203139648,-0.321805827,0.203125,1.02E-05,-0.007291667,-7.784625244,-0.691681925,-1.836494954,-0.206145223,-9.807041423,0,-3.443503825,3.39679362,-0.7612264,0.41934611,-0.44666748,0.134881592,-8.301813761,0.536020915,-2.432747396,1.117955526,-0.013153076,-0.261991374,0.161483765,-0.423973592,0.530341593,-0.965711466,0.434768677,-0.900127157,-5.910620117,-3.777257284,-1.067915853,-1.672219849,0.082211304,0.446114095,0.286469523,0.11108195,-1.956216431,2.639461263,-1.055048625,1.354992676,-163.7075348,172.2791443,-64.18112183,25,11,10,0,10,10,1,0,0,0,0,9,1,0,0,-2.54,0,9
Keith Peterson, USA,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.06543335,0.21640625,0.4784375,0.086588542,0.005289714,4.07E-05,0,15.00858561,1.596557617,7.669547526,1.297875977,16.58669434,0,6.775211589,-6.589013672,-0.596769206,-0.036735026,-0.119205729,0.028629557,8.61184082,-6.410091146,3.648242187,-2.837556966,6.799747721,5.705257161,3.926554362,2.444132487,-0.40300293,2.301391602,0.094750977,1.691300456,6.086531576,3.122908529,2.145166016,2.820133464,5.409179688,0.97335612,3.365437826,0.33108724,3.512874349,-2.499707031,2.158943685,-1.853344727,48.85302734,3.489501953,-98.89770508,7,-1,0,0,1,1,3,0,0,-1,1,1,-1,1,-2.54,2.54,0,4
Don Thais, USA,Red,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.121171875,0.315390625,0.63328125,0.40625,-0.114583333,0.328125,-0.002604167,-28.0859375,-12.72916667,-11.62760417,-3.380208333,-32.9375,0,-15.6328125,-16.98177083,0.752604167,-1.013020833,0.3125,0.067708333,-22.51822917,-4.190104167,-7.481770833,2.869791667,-3.067708333,-5.421875,-2.046875,-3.458333333,-2.5,-3.1171875,-2.098958333,-2.791666667,-24.8828125,-6.481770833,-9.625,1.809895833,-2.96875,-2.752604167,-2.197916667,-2.080729167,-0.234375,-3.494791667,0.1953125,-3.109375,152.1484375,-347.90625,-430.140625,-20,-1,-2,1,-2,-3,-4,0,0,0,-2,-1,0,0,-5.08,-10.16,0,-6
Marc Goddard, Canada,Red,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.11862793,-0.080019531,-0.091259766,0.026041667,-0.056966146,0.001302083,-0.000195313,-13.37246094,-26.23102214,1.475813802,-11.33499349,-3.043619792,0,9.141959635,-11.33701172,-1.023535156,-0.989355469,-0.086328125,-0.551888021,-15.29026693,-23.54264323,0.460644531,-9.71624349,2.812272135,-1.524479167,1.89921875,-0.956119792,-0.894466146,-1.16389974,-0.884049479,-0.662630208,-16.68684896,-21.62434896,-2.146549479,-8.106673177,-1.32906901,-1.679394531,-0.070084635,-1.142317708,4.643457031,-2.927278646,3.692447917,-2.086002604,43.84326172,-24.91552734,-406.6337891,-13,-4,-2,0,0,-2,-1,0,0,0,-1,-1,0,0,0,5.08,0,-1
Neil Swailes, Singapore,Blue,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.278339844,-0.030546875,-0.534511719,0.0859375,-0.010416667,-0.127929688,-0.147135417,-20.34277344,-35.90527344,-8.224609375,-14.36686198,-21.51204427,0,-9.195963542,-23.67513021,-0.26953125,-0.705403646,-0.045572917,-0.571614583,-17.65332031,-31.53548177,-5.399739583,-9.347330729,-1.489908854,-4.977864583,-1.087890625,-3.694335938,-1.199544271,0.608072917,-1.736979167,-1.325195313,-19.63639323,-23.80533854,-7.801106771,-7.944986979,-0.528971354,-0.411132813,-0.189127604,-0.206054688,-0.177408854,-11.68880208,-0.234375,-6.215820313,-42.58789063,-256.6035156,-538.75,-27,0,1,-1,-1,-4,-6,0,0,0,-2,-1,-1,0,0,-15.24,10,-10
Herb Dean, USA,Red,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.125504513,-0.020326653,0.141148853,-0.253902435,0.338722865,0.000662486,-0.010409355,-3.766526731,5.67799352,0.075977898,4.454385567,-3.568639882,0,0.257574717,12.47988561,0.579283905,1.155170186,0.064453888,0.304190636,-4.12461249,5.189670944,0.522880046,3.756690025,-2.411492538,0.752185059,-2.091591771,0.557713191,2.769578298,-0.263862483,1.644689624,0.139982351,-7.151249631,1.850716019,-2.54585317,1.768498866,1.213527171,2.471193949,1.012140401,1.41093572,2.17119573,1.356083552,1.609690666,1.274950981,92.51331997,221.6100931,375.5904808,25,0,0,0,-4,1,7,0,0,0,2,0,-2,1,-5.08,5.08,0,5
Herb Dean, USA,Blue,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-0.113427734,0.171796875,-0.130019531,-0.006429036,0.264583333,0,0,5.682763672,-1.153222656,2.960921224,0.026139323,2.47327474,0,0.40530599,1.480810547,-0.360188802,-0.037874349,0.004394531,-0.078238932,4.41311849,-2.337223307,2.134895833,-0.794319661,1.473746745,1.452099609,0.977555339,0.972932943,-0.204101563,-0.268098958,-0.151529948,-0.152473958,0.869401042,-2.011311849,-0.044189453,-0.593147786,3.79444987,1.098128255,1.877539063,0.728141276,1.01891276,-0.240039063,1.127571615,-0.108854167,4.057617188,7.900390625,19.64306641,-11,-2,1,0,0,-6,-2,0,0,0,-2,-1,-2,-1,2.54,5.08,0,-4
Jorge Alonso, USA,Blue,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.201337452,-0.186400738,0.787862759,0.088126119,-0.014757156,0.013110352,0.000675837,-34.75544383,-20.95024694,-13.15732803,0.148863602,-26.37107747,0,-5.365936406,9.494424311,-0.044052633,-0.76861852,-0.103464127,0.547115835,-16.83844719,-20.88428294,-2.954443614,-1.274315643,-15.40323219,-3.840582275,-8.295186361,-1.768860499,-2.513764445,3.774618276,-1.907698059,3.192039744,-35.63234024,-32.14306615,-14.55031827,-8.290169398,1.254323578,0.736444728,1.561351649,0.925080363,-0.377427165,10.45637449,-0.16836141,7.513952637,-10.47298431,308.567009,-173.8209686,14,1,5,-1,1,4,3,0,0,1,-4,-1,8,0,5.08,7.62,15,1
